,model_name,model_mae,model_cohen,precision_rare_attacks,recall_rare_attacks,f1_rare_attacks,Misclassified_attacks,false_alarm
0,LR,0.007416217728958232,0.9862656188371982,0.9756986634264885,0.9901356350184957,0.9828641370869032,0.001483459427384661,0.009864364981504316
1,SVM,0.007066396137969636,0.9866296074040211,0.9887359198998749,0.9741060419235512,0.9813664596273292,0.0006675567423230974,0.025893958076448828
2,GaussianNB,0.07535157069894353,0.8457851351117285,0.8656174334140436,0.8816276202219482,0.8735491753207086,0.008233199821984869,0.11837237977805179
3,DecisionTrees,0.015252221367102777,0.9718957200060228,0.9509433962264151,0.9321824907521579,0.9414694894146949,0.002892745883400089,0.06781750924784218
4,RandomForest,0.006996431819771916,0.9889223796953488,0.9961340206185567,0.9531442663378545,0.9741650913673598,0.00022251891410769915,0.0468557336621455
5,XGBoost,0.0011893934093612259,0.9980659876791669,0.9975247524752475,0.9938347718865598,0.9956763434218652,0.0001483459427384661,0.006165228113440197
