,models,precision,recall,f1_score,false_alarm,missed_attack_rate,roc_score
0,LR,0.9596901350517584,0.9821102848323278,0.9707707777122846,0.03805825242718447,0.01788971516767223,0.9931195921612647
1,SVM,0.9591642278636086,0.988704924933352,0.9737105744982208,0.038834951456310676,0.011295075066647958,0.9749349867385206
2,GaussianNB,0.9010069397196897,0.9290725410411113,0.9148245371649627,0.0941747572815534,0.07092745895888873,0.9554516804003917
3,DecisionTrees,0.9829820015407241,0.9847060474252841,0.9838432691970701,0.015728155339805826,0.01529395257471587,0.9844889460427392
4,RandomTrees,0.9891591382904795,0.9985968850848884,0.9938556067588326,0.010097087378640776,0.0014031149151115475,0.9942498988531239
5,XGBoost,0.9987380818844643,0.9994387540339554,0.9990882951118591,0.0011650485436893205,0.000561245966044619,0.9991368527451329
